Unnamed: 0,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br,cbsacode18,WRLURI18,num_municipalities,welfare_loss_index,welfare_loss_score,zoning_tax,zoning_tax_pct,log_renters,predicted_burden,residual
106,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,704.0,17980.0,-1.459357,1,19.47,56.7,295.0,41.9,10.895794434833306,44.02,0.45
107,"Columbus, IN Metro Area",9782,620,448,436,1828,1063,76912,18020,3332,1828,34.06,18.69,"Columbus, IN",IN,Moderate (30-39%),18020.0,953.0,18020.0,0.49820197,1,9.060000000000002,26.38,110.0,11.54,9.188299241099303,40.7,-6.64
108,"Columbus, OH Metro Area",323450,25277,18545,23736,64495,1146,76541,18140,132053,64495,40.83,19.94,"Columbus, OH",OH,High (40-49%),18140.0,1032.0,18140.0,0.1423348,17,15.829999999999998,46.1,114.0,11.05,12.686799821472132,43.06,-2.23
109,"Corpus Christi, TX Metro Area",60538,4843,4409,5319,14027,1183,64005,18580,28598,14027,47.24,23.17,"Corpus Christi, TX",TX,High (40-49%),18580.0,1118.0,18580.0,-0.29162166,3,22.240000000000002,64.76,65.0,5.81,11.011026546020759,45.66,1.58
110,"Corvallis, OR Metro Area",16662,1025,970,1423,5890,1315,72882,18700,9308,5890,55.86,35.35,"Corvallis, OR",OR,Very High (50%+),18700.0,1272.0,18700.0,2.1964083,1,30.86,89.87,43.0,3.38,9.720885956534854,59.47,-3.61
111,"Crestview-Fort Walton Beach-Destin, FL Metro Area",34312,3876,2707,3706,6924,1391,74279,18880,17213,6924,50.17,20.18,"Crestview-Fort Walton Beach-Destin, FL",FL,Very High (50%+),18880.0,1172.0,18880.0,0.61189294,1,25.17,73.3,219.0,18.69,10.443250426196716,42.77,7.4
113,"Dallas-Fort Worth-Arlington, TX Metro Area",1105476,100523,76784,104447,239350,1409,83398,19100,521104,239350,47.14,21.65,"Dallas-Fort Worth-Arlington, TX",TX,High (40-49%),19100.0,1362.0,19100.0,0.036192957,49,22.14,64.47,47.0,3.45,13.915786569410331,45.27,1.87
114,"Dallas-Fort Worth-Arlington, TX Metro Area",1105476,100523,76784,104447,239350,1409,83398,19100,521104,239350,47.14,21.65,"Dallas-Fort Worth-Arlington, TX",TX,High (40-49%),19100.0,1269.0,19100.0,0.036192957,49,22.14,64.47,140.0,11.03,13.915786569410331,45.25,1.89
117,"Daphne-Fairhope-Foley, AL Metro Area",20094,1527,1142,2053,4227,1160,71039,19300,8949,4227,44.54,21.04,"Daphne-Fairhope-Foley, AL",AL,High (40-49%),19300.0,1017.0,19300.0,-0.7896187,1,19.54,56.9,143.0,14.06,9.90817654202226,42.72,1.82
118,"Davenport-Moline-Rock Island, IA-IL Metro Area",46638,3550,2694,4073,8991,875,68395,19340,19308,8991,41.4,19.28,"Davenport-Moline-Rock Island, IA-IL",IA,High (40-49%),19340.0,805.0,19340.0,-1.0030794,5,16.4,47.76,70.0,8.7,10.750170938458275,41.05,0.35
120,"Decatur, AL Metro Area",15720,1297,446,1297,2724,772,60036,19460,5764,2724,36.67,17.33,"Decatur, AL",AL,Moderate (30-39%),19460.0,720.0,19460.0,-1.0277853,1,11.670000000000002,33.98,52.0,7.22,9.662689065983198,38.6,-1.93
121,"Decatur, IL Metro Area",13472,1059,589,747,2631,774,59622,19500,5026,2631,37.31,19.53,"Decatur, IL",IL,Moderate (30-39%),19500.0,794.0,19500.0,-1.0415237,1,12.310000000000002,35.85,-20.0,-2.52,9.508368736482108,40.89,-3.58
122,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1135.0,19660.0,-0.5061158,8,26.380000000000003,76.82,176.0,15.51,11.222011508937708,49.43,1.95
123,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1193.0,19660.0,-0.5061158,8,26.380000000000003,76.82,118.0,9.89,11.222011508937708,49.44,1.94
124,"Denver-Aurora-Lakewood, CO Metro Area",421824,41919,28382,38530,98838,1706,96920,19740,207669,98838,49.23,23.43,"Denver-Aurora-Lakewood, CO",CO,High (40-49%),19740.0,1659.0,19740.0,0.3820216,16,24.229999999999997,70.56,47.0,2.83,12.952343444412392,47.0,2.23
125,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,935.0,19780.0,-0.043271568,5,14.780000000000001,43.04,128.0,13.69,11.364622652984572,40.37,-0.59
126,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,757.0,19780.0,-0.043271568,5,14.780000000000001,43.04,306.0,40.42,11.364622652984572,40.31,-0.53
127,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1084.0,19820.0,-0.44457975,60,20.700000000000003,60.28,28.0,2.58,13.148079855908964,47.34,-1.64
128,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1125.0,19820.0,-0.44457975,60,20.700000000000003,60.28,-13.0,-1.16,13.148079855908964,47.35,-1.65
129,"Dothan, AL Metro Area",18100,1324,821,1207,3841,822,54171,20020,7193,3841,39.74,21.22,"Dothan, AL",AL,Moderate (30-39%),20020.0,705.0,20020.0,-1.6056321,1,14.740000000000002,42.92,117.0,16.6,9.803667217253917,42.42,-2.68
130,"Dover, DE Metro Area",20352,1954,1438,1828,4975,1224,69278,20100,10195,4975,50.09,24.44,"Dover, DE",DE,Very High (50%+),20100.0,1002.0,20100.0,0.32326925,1,25.090000000000003,73.06,222.0,22.16,9.92093446613985,46.92,3.17
131,"Dubuque, IA Metro Area",10673,656,589,705,2680,912,73495,20220,4630,2680,43.38,25.11,"Dubuque, IA",IA,High (40-49%),20220.0,834.0,20220.0,-0.8588414,2,18.380000000000003,53.52,78.0,9.35,9.275472466913964,46.78,-3.4
132,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,936.0,20260.0,0.051165152,5,20.619999999999997,60.05,-27.0,-2.88,10.414962965143616,45.33,0.29
133,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,826.0,20260.0,0.051165152,5,20.619999999999997,60.05,83.0,10.05,10.414962965143616,45.3,0.32
134,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,1199.0,20500.0,0.11459517,1,20.29,59.09,50.0,4.17,11.461432150580011,45.44,-0.15
135,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,863.0,20500.0,0.11459517,1,20.29,59.09,386.0,44.73,11.461432150580011,45.34,-0.05
136,"East Stroudsburg, PA Metro Area",12589,1108,581,1280,3386,1311,80656,20700,6355,3386,50.48,26.9,"East Stroudsburg, PA",PA,Very High (50%+),20700.0,1153.0,20700.0,-0.06663975,3,25.479999999999997,74.2,158.0,13.7,9.44057869576626,49.16,1.32
137,"Eau Claire, WI Metro Area",22395,1679,1263,1571,3965,925,70009,20740,8478,3965,37.86,17.7,"Eau Claire, WI",WI,Moderate (30-39%),20740.0,836.0,20740.0,-0.7539511,3,12.86,37.45,89.0,10.65,10.0165929986414,39.26,-1.4
138,"El Centro, CA Metro Area",19902,1839,1543,1537,5146,961,53847,20940,10065,5146,50.57,25.86,"El Centro, CA",CA,Very High (50%+),20940.0,1065.0,20940.0,2.9821427,1,25.57,74.46,-104.0,-9.77,9.898575508175107,49.96,0.61
141,"Elmira, NY Metro Area",10978,1045,605,783,2958,991,61358,21300,5391,2958,49.11,26.94,"Elmira, NY",NY,High (40-49%),21300.0,944.0,21300.0,-0.23620766,2,24.11,70.21,47.0,4.98,9.303648549109834,49.08,0.03
142,"El Paso, TX Metro Area",108524,9244,7411,10141,24594,977,55344,21340,51390,24594,47.35,22.66,"El Paso, TX",TX,High (40-49%),21340.0,840.0,21340.0,0.5864872,2,22.35,65.08,137.0,16.31,11.594726625658629,45.79,1.56
144,"Erie, PA Metro Area",35065,2727,2144,2760,8926,851,59396,21500,16557,8926,47.22,25.46,"Erie, PA",PA,High (40-49%),21500.0,848.0,21500.0,0.59413266,4,22.22,64.71,3.0,0.35,10.46495876097101,48.4,-1.18
145,"Eugene-Springfield, OR Metro Area",64535,5535,3668,5982,17207,1210,65157,21660,32392,17207,50.19,26.66,"Eugene-Springfield, OR",OR,Very High (50%+),21660.0,1254.0,21660.0,0.38107264,5,25.189999999999998,73.35,-44.0,-3.51,11.074962991269288,49.77,0.42
148,"Fargo, ND-MN Metro Area",46553,3591,2582,3701,9230,919,73641,22020,19104,9230,41.04,19.83,"Fargo, ND-MN",ND,High (40-49%),22020.0,859.0,22020.0,0.27158338,2,16.04,46.71,60.0,6.98,10.74834672745997,42.34,-1.3
149,"Farmington, NM Metro Area",12171,863,542,857,2390,894,50734,22140,4652,2390,38.22,19.64,"Farmington, NM",NM,Moderate (30-39%),22140.0,850.0,22140.0,-0.62973994,1,13.219999999999999,38.5,44.0,5.18,9.406811351874557,41.18,-2.96
150,"Fayetteville, NC Metro Area",80727,6269,4978,7839,17668,1085,57488,22180,36754,17668,45.53,21.89,"Fayetteville, NC",NC,High (40-49%),22180.0,913.0,22180.0,0.13901645,2,20.53,59.78,172.0,18.84,11.29882837079185,44.62,0.91
151,"Fayetteville, NC Metro Area",80727,6269,4978,7839,17668,1085,57488,22180,36754,17668,45.53,21.89,"Fayetteville, NC",NC,High (40-49%),22180.0,856.0,22180.0,0.13901645,2,20.53,59.78,229.0,26.75,11.29882837079185,44.6,0.93
152,"Fayetteville-Springdale-Rogers, AR Metro Area",77362,6267,4138,4601,12221,1010,73316,22220,27227,12221,35.19,15.8,"Fayetteville-Springdale-Rogers, AR",AR,Moderate (30-39%),22220.0,865.0,22220.0,-0.23801577,5,10.189999999999998,29.67,145.0,16.76,11.256250982947074,37.95,-2.76
153,"Flagstaff, AZ Metro Area",21288,1920,1433,1771,5337,1353,67266,22380,10461,5337,49.14,25.07,"Flagstaff, AZ",AZ,High (40-49%),22380.0,1474.0,22380.0,2.4877613,1,24.14,70.3,-121.0,-8.21,9.965898812657525,48.87,0.27
154,"Flint, MI Metro Area",49178,3830,3264,3811,12446,893,58594,22420,23351,12446,47.48,25.31,"Flint, MI",MI,High (40-49%),22420.0,821.0,22420.0,-0.5721822,7,22.479999999999997,65.46,72.0,8.77,10.803201648005482,47.69,-0.21
155,"Florence, SC Metro Area",26195,1374,1416,2446,5626,848,52401,22500,10862,5626,41.47,21.48,"Florence, SC",SC,High (40-49%),22500.0,832.0,22500.0,0.62666386,3,16.47,47.96,16.0,1.92,10.17332383184232,44.09,-2.62
158,"Fort Collins, CO Metro Area",52796,4395,3346,4688,14113,1584,87199,22660,26542,14113,50.27,26.73,"Fort Collins, CO",CO,Very High (50%+),22660.0,1421.0,22660.0,0.2500825,6,25.270000000000003,73.59,163.0,11.47,10.874190709248845,49.67,0.6
159,"Fort Smith, AR-OK Metro Area",32262,2154,1857,2845,5461,791,53224,22900,12317,5461,38.18,16.93,"Fort Smith, AR-OK",AR,Moderate (30-39%),22900.0,740.0,22900.0,-0.7156107,1,13.18,38.38,51.0,6.89,10.381645346037732,38.6,-0.42
160,"Fort Smith, AR-OK Metro Area",32262,2154,1857,2845,5461,791,53224,22900,12317,5461,38.18,16.93,"Fort Smith, AR-OK",AR,Moderate (30-39%),22900.0,649.0,22900.0,-0.7156107,1,13.18,38.38,142.0,21.88,10.381645346037732,38.56,-0.38
162,"Fresno, CA Metro Area",145867,12365,9819,13543,38249,1207,67756,23420,73976,38249,50.71,26.22,"Fresno, CA",CA,Very High (50%+),23420.0,1137.0,23420.0,0.22542901,5,25.71,74.87,70.0,6.16,11.890450526611144,49.49,1.22
163,"Gadsden, AL Metro Area",10337,752,475,883,2182,779,52177,23460,4292,2182,41.52,21.11,"Gadsden, AL",AL,High (40-49%),23460.0,710.0,23460.0,-0.44823077,1,16.520000000000003,48.11,69.0,9.72,9.243484970568485,42.76,-1.24
164,"Gainesville, FL Metro Area",54195,3717,3285,4446,17054,1157,56638,23540,28502,17054,52.59,31.47,"Gainesville, FL",FL,Very High (50%+),23540.0,1038.0,23540.0,-0.12734613,1,27.590000000000003,80.34,119.0,11.46,10.90034393224985,54.48,-1.89
165,"Gainesville, FL Metro Area",54195,3717,3285,4446,17054,1157,56638,23540,28502,17054,52.59,31.47,"Gainesville, FL",FL,Very High (50%+),23540.0,757.0,23540.0,-0.12734613,1,27.590000000000003,80.34,400.0,52.84,10.90034393224985,54.38,-1.79
166,"Gainesville, GA Metro Area",20817,1487,1784,2028,4518,1179,74153,23580,9817,4518,47.16,21.7,"Gainesville, GA",GA,High (40-49%),23580.0,1028.0,23580.0,-0.4467876,1,22.159999999999997,64.53,151.0,14.69,9.94352523956766,43.62,3.54
167,"Gettysburg, PA Metro Area",8742,679,487,677,1472,1060,78975,23900,3315,1472,37.92,16.84,"Gettysburg, PA",PA,Moderate (30-39%),23900.0,1032.0,23900.0,0.3915757,4,12.920000000000002,37.62,28.0,2.71,9.07589427542326,38.67,-0.75
168,"Glens Falls, NY Metro Area",15065,1560,762,1075,3201,1015,71380,24020,6598,3201,43.8,21.25,"Glens Falls, NY",NY,High (40-49%),24020.0,1065.0,24020.0,-1.021747,3,18.799999999999997,54.75,-50.0,-4.69,9.620129451564402,42.76,1.04
169,"Goldsboro, NC Metro Area",18151,1804,941,1661,3420,899,54323,24140,7826,3420,43.12,18.84,"Goldsboro, NC",NC,High (40-49%),24140.0,849.0,24140.0,0.21939074,1,18.119999999999997,52.77,50.0,5.89,9.806480934593978,40.94,2.18
170,"Grand Forks, ND-MN Metro Area",18562,1289,1278,1703,3862,918,65971,24220,8132,3862,43.81,20.81,"Grand Forks, ND-MN",ND,High (40-49%),24220.0,854.0,24220.0,-1.0800045,1,18.810000000000002,54.78,64.0,7.49,9.828871759155339,42.31,1.5
172,"Grand Junction, CO Metro Area",17781,1079,1233,1416,4021,1089,68077,24300,7749,4021,43.58,22.61,"Grand Junction, CO",CO,High (40-49%),24300.0,1026.0,24300.0,-0.5362182,2,18.58,54.11,63.0,6.14,9.785885750455948,44.5,-0.92
173,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,1041.0,24340.0,-0.36528832,24,19.83,57.75,37.0,3.55,11.599882673826125,43.48,1.35
174,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,971.0,24340.0,-0.36528832,24,19.83,57.75,107.0,11.02,11.599882673826125,43.46,1.37
175,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,884.0,24340.0,-0.36528832,24,19.83,57.75,194.0,21.95,11.599882673826125,43.43,1.4
178,"Greeley, CO Metro Area",28700,2404,2102,2624,6881,1351,89182,24540,14011,6881,48.82,23.98,"Greeley, CO",CO,High (40-49%),24540.0,1272.0,24540.0,0.25373238,2,23.82,69.37,79.0,6.21,10.264652401747712,46.56,2.26
179,"Green Bay, WI Metro Area",42160,3990,2133,2996,6915,924,74208,24580,16034,6915,38.03,16.4,"Green Bay, WI",WI,Moderate (30-39%),24580.0,875.0,24580.0,0.15175427,3,13.030000000000001,37.94,49.0,5.6,10.649227183215244,38.62,-0.59
180,"Greensboro-High Point, NC Metro Area",111875,9563,7295,10856,23051,985,59567,24660,50765,23051,45.38,20.6,"Greensboro-High Point, NC",NC,High (40-49%),24660.0,952.0,24660.0,-0.40710354,6,20.380000000000003,59.35,33.0,3.47,11.625137455577157,43.1,2.28
181,"Greenville, NC Metro Area",35193,2762,1835,2391,8675,911,54915,24780,15663,8675,44.51,24.65,"Greenville, NC",NC,High (40-49%),24780.0,910.0,24780.0,-0.4822502,2,19.509999999999998,56.81,1.0,0.11,10.46860247817383,46.95,-2.44
182,"Greenville-Anderson, SC Metro Area",108358,9003,6651,8450,24452,1026,66226,24860,48556,24452,44.81,22.57,"Greenville-Anderson, SC",SC,High (40-49%),24860.0,833.0,24860.0,-0.1151287,3,19.810000000000002,57.69,193.0,23.17,11.593195839033498,45.29,-0.48
183,"Greenville-Anderson, SC Metro Area",108358,9003,6651,8450,24452,1026,66226,24860,48556,24452,44.81,22.57,"Greenville-Anderson, SC",SC,High (40-49%),24860.0,992.0,24860.0,-0.1151287,3,19.810000000000002,57.69,34.0,3.43,11.593195839033498,45.34,-0.53
184,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,863.0,25060.0,0.31904158,3,20.619999999999997,60.05,147.0,17.03,10.887941478476757,45.82,-0.2
185,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,846.0,25060.0,0.31904158,3,20.619999999999997,60.05,164.0,19.39,10.887941478476757,45.82,-0.2
186,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,705.0,25060.0,0.31904158,3,20.619999999999997,60.05,305.0,43.26,10.887941478476757,45.76,-0.14
187,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,972.0,25180.0,0.6370265,1,17.229999999999997,50.17,104.0,10.7,10.41873339273561,42.26,-0.03
188,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,991.0,25180.0,0.6370265,1,17.229999999999997,50.17,85.0,8.58,10.41873339273561,42.27,-0.04
189,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,785.0,25180.0,0.6370265,1,17.229999999999997,50.17,291.0,37.07,10.41873339273561,42.2,0.03
191,"Hanford-Corcoran, CA Metro Area",19670,1818,1139,1632,3936,1201,68540,25260,8525,3936,43.34,20.01,"Hanford-Corcoran, CA",CA,High (40-49%),25260.0,1162.0,25260.0,0.79827416,1,18.340000000000003,53.41,39.0,3.36,9.886849911383104,42.53,0.81
193,"Harrisonburg, VA Metro Area",18435,1345,754,1085,4037,1068,66823,25500,7221,4037,39.17,21.9,"Harrisonburg, VA",VA,Moderate (30-39%),25500.0,951.0,25500.0,-0.0032686442,2,14.170000000000002,41.26,117.0,12.3,9.822006310668245,44.04,-4.87
194,"Hartford-East Hartford-Middletown, CT Metro Area",160785,13422,9970,13016,39299,1297,89371,25540,75707,39299,47.09,24.44,"Hartford-East Hartford-Middletown, CT",CT,High (40-49%),25540.0,1302.0,25540.0,0.16507733,14,22.090000000000003,64.33,-5.0,-0.38,11.98782334779373,47.62,-0.53
195,"Hartford-East Hartford-Middletown, CT Metro Area",160785,13422,9970,13016,39299,1297,89371,25540,75707,39299,47.09,24.44,"Hartford-East Hartford-Middletown, CT",CT,High (40-49%),25540.0,1441.0,25540.0,0.16507733,14,22.090000000000003,64.33,-144.0,-9.99,11.98782334779373,47.64,-0.55
198,"Hickory-Lenoir-Morganton, NC Metro Area",37822,2841,1802,2657,5711,797,57943,25860,13011,5711,34.4,15.1,"Hickory-Lenoir-Morganton, NC",NC,Moderate (30-39%),25860.0,724.0,25860.0,0.29314172,6,9.399999999999999,27.37,73.0,10.08,10.540646222887219,37.27,-2.87
200,"Hinesville, GA Metro Area",14091,1359,1266,933,2653,1146,55427,25980,6211,2653,44.08,18.83,"Hinesville, GA",GA,High (40-49%),25980.0,1016.0,25980.0,-0.5431107,1,19.08,55.56,130.0,12.8,9.553291574695105,40.4,3.68
201,"Homosassa Springs, FL Metro Area",9890,750,631,668,2710,1000,52569,26140,4759,2710,48.12,27.4,"Homosassa Springs, FL",FL,High (40-49%),26140.0,943.0,26140.0,0.07367842,2,23.119999999999997,67.33,57.0,6.04,9.199279424616758,49.7,-1.58
204,"Houston-The Woodlands-Sugar Land, TX Metro Area",982172,84560,68827,88772,230882,1301,78061,26420,473041,230882,48.16,23.51,"Houston-The Woodlands-Sugar Land, TX",TX,High (40-49%),26420.0,1179.0,26420.0,-0.12667127,16,23.159999999999997,67.44,122.0,10.35,13.797521724748641,47.09,1.07
205,"Houston-The Woodlands-Sugar Land, TX Metro Area",982172,84560,68827,88772,230882,1301,78061,26420,473041,230882,48.16,23.51,"Houston-The Woodlands-Sugar Land, TX",TX,High (40-49%),26420.0,1208.0,26420.0,-0.12667127,16,23.159999999999997,67.44,93.0,7.7,13.797521724748641,47.09,1.07
206,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,674.0,26580.0,-0.4860327,1,16.159999999999997,47.06,166.0,24.63,10.548782878576425,45.84,-4.68
207,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,791.0,26580.0,-0.4860327,1,16.159999999999997,47.06,49.0,6.19,10.548782878576425,45.89,-4.73
208,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,940.0,26580.0,-0.4860327,1,16.159999999999997,47.06,-100.0,-10.64,10.548782878576425,45.93,-4.77
209,"Huntsville, AL Metro Area",59628,4757,3165,3962,11477,1016,78521,26620,23361,11477,39.18,19.25,"Huntsville, AL",AL,Moderate (30-39%),26620.0,897.0,26620.0,-0.1459877,1,14.18,41.29,119.0,13.27,10.99588054139032,41.57,-2.39
211,"Indianapolis-Carmel-Anderson, IN Metro Area",277043,24989,17508,22355,59637,1081,73571,26900,124489,59637,44.93,21.53,"Indianapolis-Carmel-Anderson, IN",IN,High (40-49%),26900.0,796.0,26900.0,0.23224421,14,19.93,58.04,285.0,35.8,12.531928007778863,44.68,0.25
212,"Indianapolis-Carmel-Anderson, IN Metro Area",277043,24989,17508,22355,59637,1081,73571,26900,124489,59637,44.93,21.53,"Indianapolis-Carmel-Anderson, IN",IN,High (40-49%),26900.0,939.0,26900.0,0.23224421,14,19.93,58.04,142.0,15.12,12.531928007778863,44.73,0.2
213,"Iowa City, IA Metro Area",27631,2307,1646,2497,7800,1057,72680,26980,14250,7800,51.57,28.23,"Iowa City, IA",IA,Very High (50%+),26980.0,1063.0,26980.0,0.29484525,1,26.57,77.37,-6.0,-0.56,10.226693609806864,51.08,0.49
214,"Ithaca, NY Metro Area",19656,1433,1113,1345,6710,1320,69995,27060,10601,6710,53.93,34.14,"Ithaca, NY",NY,Very High (50%+),27060.0,1365.0,27060.0,-0.11722026,3,28.93,84.25,-45.0,-3.3,9.886137914201015,56.99,-3.06
215,"Jackson, MI Metro Area",15865,1015,977,1251,3545,920,62581,27100,6788,3545,42.79,22.34,"Jackson, MI",MI,High (40-49%),27100.0,866.0,27100.0,-0.35429606,6,17.79,51.81,54.0,6.24,9.671870704017296,44.28,-1.49
216,"Jackson, MS Metro Area",73060,7095,4495,5919,16515,1012,60085,27140,34024,16515,46.57,22.6,"Jackson, MS",MS,High (40-49%),27140.0,705.0,27140.0,0.5731679,4,21.57,62.81,307.0,43.55,11.199036300349274,45.51,1.06
217,"Jackson, MS Metro Area",73060,7095,4495,5919,16515,1012,60085,27140,34024,16515,46.57,22.6,"Jackson, MS",MS,High (40-49%),27140.0,947.0,27140.0,0.5731679,4,21.57,62.81,65.0,6.86,11.199036300349274,45.6,0.97
220,"Jacksonville, FL Metro Area",212834,21820,13506,20475,48767,1315,73194,27260,104568,48767,49.13,22.91,"Jacksonville, FL",FL,High (40-49%),27260.0,1188.0,27260.0,-0.06702027,4,24.130000000000003,70.27,127.0,10.69,12.26826779812314,45.94,3.19
221,"Jacksonville, NC Metro Area",29164,2777,1283,3024,6311,1132,59976,27340,13395,6311,45.93,21.64,"Jacksonville, NC",NC,High (40-49%),27340.0,876.0,27340.0,0.5151932,2,20.93,60.95,256.0,29.22,10.28069035092632,44.17,1.76
223,"Jefferson City, MO Metro Area",15701,1084,870,895,2237,776,70195,27620,5086,2237,32.39,14.25,"Jefferson City, MO",MO,Moderate (30-39%),27620.0,694.0,27620.0,-0.60782224,2,7.390000000000001,21.52,82.0,11.82,9.661479683575521,35.56,-3.17
224,"Johnson City, TN Metro Area",28283,1890,1434,2392,5271,845,54217,27740,10987,5271,38.85,18.64,"Johnson City, TN",TN,Moderate (30-39%),27740.0,781.0,27740.0,-0.87145364,4,13.850000000000001,40.33,64.0,8.19,10.250016196420983,40.27,-1.42
225,"Johnstown, PA Metro Area",13453,812,570,867,2810,700,54221,27780,5059,2810,37.6,20.89,"Johnstown, PA",PA,Moderate (30-39%),27780.0,757.0,27780.0,1.1403313,1,12.600000000000001,36.69,-57.0,-7.53,9.506957408485542,43.54,-5.94
229,"Kalamazoo-Portage, MI Metro Area",38068,3117,2225,3801,8631,994,67905,28020,17774,8631,46.69,22.67,"Kalamazoo-Portage, MI",MI,High (40-49%),28020.0,879.0,28020.0,-0.76186293,6,21.689999999999998,63.16,115.0,13.08,10.547129313192235,44.69,2.0
230,"Kankakee, IL Metro Area",12957,1259,694,1230,2953,1025,65489,28100,6136,2953,47.36,22.79,"Kankakee, IL",IL,High (40-49%),28100.0,978.0,28100.0,-0.777055,1,22.36,65.11,47.0,4.81,9.469391461628812,44.45,2.91
231,"Kansas City, MO-KS Metro Area",301048,24771,17753,24040,60109,1148,78827,28140,126673,60109,42.08,19.97,"Kansas City, MO-KS",MO,High (40-49%),28140.0,1030.0,28140.0,-0.08467384,17,17.08,49.74,118.0,11.46,12.61502499945581,42.94,-0.86
