,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
34,"Bellingham, WA Metro Area",33729,2595,2808,3335,9355,1370,77581,13380,18093,9355,53.64,27.74,"Bellingham, WA",WA,Very High (50%+),13380.0,1254.0
35,"Bend, OR Metro Area",24660,2369,1636,2113,5899,1550,82042,13460,12017,5899,48.73,23.92,"Bend, OR",OR,High (40-49%),13460.0,1303.0
36,"Billings, MT Metro Area",22524,2090,1299,2038,4583,1045,72377,13740,10010,4583,44.44,20.35,"Billings, MT",MT,High (40-49%),13740.0,960.0
37,"Billings, MT Metro Area",22524,2090,1299,2038,4583,1045,72377,13740,10010,4583,44.44,20.35,"Billings, MT",MT,High (40-49%),13740.0,854.0
38,"Binghamton, NY Metro Area",33082,2432,1681,3132,8638,884,61271,13780,15883,8638,48.01,26.11,"Binghamton, NY",NY,High (40-49%),13780.0,855.0
39,"Birmingham-Hoover, AL Metro Area",128048,10751,7483,10107,29686,1081,68329,13820,58027,29686,45.32,23.18,"Birmingham-Hoover, AL",AL,High (40-49%),13820.0,943.0
40,"Bismarck, ND Metro Area",14993,865,870,993,2858,973,81846,13900,5586,2858,37.26,19.06,"Bismarck, ND",ND,Moderate (30-39%),13900.0,880.0
41,"Blacksburg-Christiansburg, VA Metro Area",25042,1522,704,1557,6862,1040,62017,13980,10645,6862,42.51,27.4,"Blacksburg-Christiansburg, VA",VA,High (40-49%),13980.0,935.0
42,"Bloomington, IL Metro Area",23979,1242,1475,1430,4936,941,75356,14010,9083,4936,37.88,20.58,"Bloomington, IL",IL,Moderate (30-39%),14010.0,870.0
43,"Bloomington, IN Metro Area",27413,1848,1268,2399,9273,1089,59998,14020,14788,9273,53.95,33.83,"Bloomington, IN",IN,Very High (50%+),14020.0,971.0
44,"Bloomsburg-Berwick, PA Metro Area",9889,855,597,494,1710,889,61559,14100,3656,1710,36.97,17.29,"Bloomsburg-Berwick, PA",PA,Moderate (30-39%),,
45,"Boise City, ID Metro Area",78205,7431,5235,6413,14344,1245,78138,14260,33423,14344,42.74,18.34,"Boise City, ID",ID,High (40-49%),14260.0,1118.0
46,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,2399.0
47,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1723.0
48,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1565.0
49,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1773.0
50,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1399.0
51,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1637.0
52,"Boulder, CO Metro Area",50324,4542,2985,4716,16110,1828,99770,14500,28353,16110,56.34,32.01,"Boulder, CO",CO,Very High (50%+),14500.0,1748.0
53,"Bowling Green, KY Metro Area",26562,1883,1725,1518,6031,918,60914,14540,11157,6031,42.0,22.71,"Bowling Green, KY",KY,High (40-49%),14540.0,845.0
54,"Bremerton-Silverdale-Port Orchard, WA Metro Area",31981,3489,2454,2653,6947,1635,93675,14740,15543,6947,48.6,21.72,"Bremerton-Silverdale-Port Orchard, WA",WA,High (40-49%),14740.0,1765.0
55,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1371.0
56,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1810.0
57,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,2230.0
58,"Brownsville-Harlingen, TX Metro Area",46015,4150,2743,3614,10623,855,47435,15180,21130,10623,45.92,23.09,"Brownsville-Harlingen, TX",TX,High (40-49%),15180.0,803.0
59,"Brunswick, GA Metro Area",13747,762,953,1310,2595,972,60777,15260,5620,2595,40.88,18.88,"Brunswick, GA",GA,High (40-49%),15260.0,894.0
60,"Buffalo-Cheektowaga, NY Metro Area",167999,12636,9838,12652,42166,956,67638,15380,77292,42166,46.01,25.1,"Buffalo-Cheektowaga, NY",NY,High (40-49%),15380.0,963.0
61,"Burlington, NC Metro Area",22883,1699,1220,2189,4787,959,60866,15500,9895,4787,43.24,20.92,"Burlington, NC",NC,High (40-49%),15500.0,891.0
62,"Burlington-South Burlington, VT Metro Area",29961,2957,2074,2579,7810,1447,86183,15540,15420,7810,51.47,26.07,"Burlington-South Burlington, VT",VT,Very High (50%+),,
63,"California-Lexington Park, MD Metro Area",11346,544,693,573,2602,1595,113668,15680,4412,2602,38.89,22.93,"California-Lexington Park, MD",MD,Moderate (30-39%),15680.0,1372.0
64,"Canton-Massillon, OH Metro Area",51907,4173,3010,3944,9484,835,62859,15940,20611,9484,39.71,18.27,"Canton-Massillon, OH",OH,Moderate (30-39%),15940.0,768.0
65,"Cape Coral-Fort Myers, FL Metro Area",83206,7339,6183,8014,22717,1466,69368,15980,44253,22717,53.18,27.3,"Cape Coral-Fort Myers, FL",FL,Very High (50%+),15980.0,1231.0
66,"Cape Girardeau, MO-IL Metro Area",11493,851,852,712,2492,842,62671,16020,4907,2492,42.7,21.68,"Cape Girardeau, MO-IL",MO,High (40-49%),16020.0,807.0
67,"Carbondale-Marion, IL Metro Area",20814,1871,1472,1663,4962,779,53747,16060,9968,4962,47.89,23.84,"Carbondale-Marion, IL",IL,High (40-49%),16060.0,781.0
